device_id,device_type,os,device_risk_score
0,mobile,Android,0.077
1,mobile,Android,0.226
2,mobile,Android,0.242
3,mobile,Android,0.252
4,web,Android,0.271
5,mobile,Android,0.555
6,mobile,Android,0.235
7,web,Android,0.31
8,mobile,Android,0.705
9,mobile,Android,0.255
10,mobile,Android,0.117
11,mobile,Android,0.327
12,mobile,Android,0.363
13,mobile,Android,0.55
14,mobile,Android,0.415
15,mobile,Android,0.245
16,mobile,Android,0.245
17,mobile,iOS,0.559
18,mobile,Android,0.03
19,mobile,Android,0.4
20,mobile,Android,0.382
21,mobile,Android,0.225
22,mobile,Android,0.192
23,mobile,Android,0.196
24,mobile,iOS,0.411
25,mobile,Android,0.24
26,mobile,Android,0.182
27,mobile,Android,0.398
28,mobile,Android,0.322
29,mobile,Android,0.27
30,mobile,iOS,0.008
31,mobile,Android,0.438
32,mobile,Android,0.542
33,web,Android,0.048
34,mobile,iOS,0.484
35,mobile,Android,0.726
36,mobile,Android,0.396
37,mobile,Android,0.063
38,web,Android,0.396
39,mobile,Android,0.095
40,web,Android,0.338
41,mobile,Android,0.85
42,mobile,iOS,0.271
43,mobile,Android,0.418
44,mobile,Android,0.112
45,mobile,Android,0.193
46,mobile,Android,0.291
47,mobile,iOS,0.43
48,mobile,Android,0.587
49,mobile,iOS,0.045
50,mobile,Android,0.246
51,mobile,iOS,0.27
52,mobile,Android,0.022
53,mobile,Android,0.385
54,mobile,Android,0.223
55,mobile,Android,0.232
56,mobile,Android,0.186
57,mobile,Android,0.339
58,mobile,Windows,0.109
59,mobile,Android,0.22
60,mobile,Android,0.239
61,mobile,Android,0.116
62,mobile,iOS,0.252
63,mobile,Android,0.231
64,web,iOS,0.336
65,mobile,iOS,0.251
66,mobile,Android,0.277
67,mobile,Android,0.755
68,mobile,Android,0.07
69,mobile,Android,0.278
70,mobile,Windows,0.266
71,mobile,Android,0.176
72,mobile,iOS,0.316
73,mobile,Android,0.237
74,mobile,Windows,0.243
75,mobile,Android,0.074
76,mobile,iOS,0.318
77,mobile,Windows,0.248
78,mobile,iOS,0.105
79,mobile,Android,0.183
80,web,Android,0.57
81,mobile,Android,0.342
82,mobile,iOS,0.437
83,mobile,Android,0.321
84,web,iOS,0.125
85,mobile,Android,0.238
86,web,Android,0.344
87,mobile,iOS,0.27
88,mobile,Android,0.161
89,mobile,Android,0.185
90,mobile,Android,0.346
91,mobile,Android,0.094
92,mobile,Android,0.254
93,mobile,Android,0.428
94,mobile,Android,0.359
95,mobile,Android,0.38
96,mobile,Android,0.258
97,mobile,Android,0.317
98,mobile,Android,0.455
99,mobile,Android,0.251
100,mobile,Android,0.408
101,mobile,Android,0.156
102,mobile,Android,0.371
103,web,Android,0.316
104,mobile,Android,0.537
105,mobile,Android,0.319
106,mobile,Android,0.066
107,mobile,Android,0.441
108,mobile,Android,0.118
109,mobile,iOS,0.198
110,web,Android,0.18
111,mobile,Windows,0.536
112,mobile,Android,0.086
113,mobile,iOS,0.298
114,mobile,iOS,0.192
115,mobile,Android,0.196
116,mobile,Android,0.394
117,mobile,Android,0.035
118,mobile,iOS,0.211
119,mobile,Android,0.257
120,mobile,Android,0.104
121,mobile,Android,0.536
122,mobile,Android,0.647
123,mobile,Android,0.17
124,mobile,Android,0.258
125,web,Android,0.581
126,mobile,Android,0.211
127,mobile,Windows,0.109
128,mobile,Android,0.21
129,mobile,Android,0.121
130,mobile,iOS,0.522
131,mobile,iOS,0.317
132,mobile,Android,0.261
133,mobile,Android,0.199
134,web,iOS,0.192
135,mobile,Android,0.109
136,mobile,Android,0.137
137,mobile,Android,0.145
138,mobile,Android,0.178
139,mobile,Android,0.221
140,mobile,iOS,0.463
141,mobile,Windows,0.314
142,mobile,Android,0.305
143,mobile,Android,0.197
144,web,Android,0.213
145,mobile,Android,0.309
146,mobile,Android,0.405
147,web,Android,0.025
148,mobile,Android,0.307
149,mobile,Android,0.339
150,mobile,Android,0.288
151,web,Android,0.258
152,mobile,Windows,0.315
153,mobile,Android,0.665
154,mobile,iOS,0.201
155,mobile,Android,0.151
156,mobile,Android,0.563
157,mobile,Windows,0.409
158,mobile,Android,0.22
