location_id,city,state,country,geo_risk_score
0,Loni,Assam,India,0.435
1,Raurkela Industrial Township,Tripura,India,0.659
2,Kirari Suleman Nagar,Manipur,India,0.323
3,Aurangabad,Andhra Pradesh,India,0.178
4,Tadepalligudem,Tamil Nadu,India,0.652
5,Saharanpur,Arunachal Pradesh,India,0.31
6,Motihari,Maharashtra,India,0.229
7,Tiruchirappalli,Haryana,India,0.094
8,Haldia,West Bengal,India,0.221
9,Sultan Pur Majra,Rajasthan,India,0.36
10,Raipur,Karnataka,India,0.428
11,Bhiwandi,Karnataka,India,0.371
12,Mahbubnagar,Bihar,India,0.398
13,Delhi,Chhattisgarh,India,0.343
14,Tadipatri,Gujarat,India,0.235
15,Eluru,Tripura,India,0.227
16,Srinagar,Assam,India,0.686
17,Ballia,Arunachal Pradesh,India,0.115
18,Panvel,Sikkim,India,0.189
19,Thoothukudi,Arunachal Pradesh,India,0.074
20,Bhagalpur,West Bengal,India,0.563
21,Pondicherry,Arunachal Pradesh,India,0.059
22,Bareilly,Madhya Pradesh,India,0.22
23,Ranchi,Telangana,India,0.189
24,Panvel,Nagaland,India,0.255
25,Jamalpur,Gujarat,India,0.321
26,Karnal,Tamil Nadu,India,0.192
27,Raipur,Gujarat,India,0.103
28,Kozhikode,Sikkim,India,0.393
29,Jehanabad,Meghalaya,India,0.101
30,Hapur,West Bengal,India,0.413
31,Raurkela Industrial Township,Arunachal Pradesh,India,0.686
32,Darbhanga,Uttarakhand,India,0.436
33,Serampore,Tripura,India,0.307
34,Hazaribagh,Gujarat,India,0.008
35,Bidhannagar,Assam,India,0.498
36,Dehradun,Manipur,India,0.506
37,Bellary,Madhya Pradesh,India,0.185
38,Sasaram,Sikkim,India,0.46
39,Serampore,Rajasthan,India,0.342
40,Danapur,Karnataka,India,0.206
41,Gurgaon,Haryana,India,0.642
42,Katihar,Punjab,India,0.217
43,Faridabad,Haryana,India,0.318
44,Imphal,Meghalaya,India,0.12
45,Bharatpur,Uttarakhand,India,0.311
46,Guntur,Karnataka,India,0.183
47,Proddatur,Kerala,India,0.379
48,Rajkot,Nagaland,India,0.274
49,Vasai-Virar,Madhya Pradesh,India,0.247
