merchant_id,category,merchant_risk_score
0,furniture,0.319
1,appliances,0.198
2,appliances,0.342
3,grocery,0.462
4,grocery,0.055
5,fashion,0.128
6,appliances,0.824
7,appliances,0.298
8,furniture,0.122
9,appliances,0.26
10,fashion,0.349
11,grocery,0.148
12,furniture,0.129
13,electronics,0.099
14,grocery,0.297
15,electronics,0.097
16,grocery,0.471
17,furniture,0.097
18,fashion,0.241
19,grocery,0.556
20,fashion,0.393
21,electronics,0.391
22,fashion,0.179
23,furniture,0.283
24,furniture,0.227
25,electronics,0.259
26,electronics,0.496
27,appliances,0.264
28,fashion,0.166
29,furniture,0.658
30,furniture,0.219
31,appliances,0.205
32,electronics,0.238
33,appliances,0.087
34,grocery,0.087
35,appliances,0.212
36,grocery,0.156
37,appliances,0.393
38,grocery,0.182
39,electronics,0.157
40,furniture,0.692
41,fashion,0.252
42,fashion,0.195
43,furniture,0.579
44,furniture,0.359
45,furniture,0.46
46,fashion,0.577
47,fashion,0.411
48,appliances,0.301
49,furniture,0.348
50,electronics,0.611
51,electronics,0.413
52,grocery,0.117
53,fashion,0.466
54,furniture,0.369
55,appliances,0.382
56,electronics,0.19
57,grocery,0.251
58,appliances,0.222
59,furniture,0.235
60,electronics,0.12
61,grocery,0.427
62,electronics,0.506
63,appliances,0.27
64,grocery,0.11
65,appliances,0.155
66,appliances,0.345
67,fashion,0.048
68,furniture,0.262
69,electronics,0.104
70,grocery,0.302
71,fashion,0.105
72,electronics,0.04
73,appliances,0.131
74,fashion,0.277
75,grocery,0.332
76,fashion,0.24
77,furniture,0.403
78,grocery,0.216
79,electronics,0.568
80,electronics,0.779
81,furniture,0.321
82,furniture,0.158
83,furniture,0.345
84,grocery,0.161
85,grocery,0.094
86,electronics,0.283
87,fashion,0.054
88,furniture,0.172
89,grocery,0.357
90,electronics,0.55
91,grocery,0.1
92,electronics,0.409
93,grocery,0.087
94,appliances,0.477
95,electronics,0.134
96,appliances,0.07
97,furniture,0.252
98,electronics,0.385
99,furniture,0.159
100,appliances,0.223
101,electronics,0.304
102,furniture,0.277
103,electronics,0.623
104,appliances,0.151
105,grocery,0.206
106,fashion,0.553
107,appliances,0.655
108,electronics,0.121
109,furniture,0.075
110,appliances,0.193
